id;user_id;creared_date;due_date;impotance;status;noi_dung
1;84475;2020-04-26T15:21:14;2020-04-27T01:25:52;true;8745;purple
2;99611;2020-04-26T09:45:51;2020-04-27T02:06:34;false;6855;ROI
3;87105;2020-04-26T23:31:36;2020-04-26T07:29:01;true;45290;Borders array
4;2899;2020-04-26T11:44:33;2020-04-26T16:33:29;true;65360;Fort
5;34037;2020-04-26T22:00:10;2020-04-26T05:46:53;false;30942;evolve
6;87025;2020-04-26T22:24:34;2020-04-26T20:32:46;false;47259;invoice
7;51481;2020-04-26T22:40:37;2020-04-27T02:48:07;true;58064;backing up TCP
8;44541;2020-04-27T00:33:20;2020-04-26T05:53:06;true;78177;Assistant
9;90535;2020-04-26T22:34:13;2020-04-26T16:16:13;false;36369;Producer Handmade Profound
10;21198;2020-04-27T00:47:08;2020-04-26T17:37:33;false;31854;Garden Barbados AGP
